Flynum,Concentration,Cohort,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,1,1,1,On,0.845070422535211,1,Yes
2,0.39,1,1,1,On,0.936619718309859,1,Yes
3,0.39,1,1,1,On,0.61830985915493,1,Yes
4,0.39,1,1,1,On,0.516901408450704,1,Yes
5,0.39,1,1,1,On,0.733802816901408,1,Yes
6,0.39,1,1,1,On,0.805633802816901,1,Yes
7,0.39,1,1,1,On,0.202816901408451,1,Yes
8,0.39,1,1,1,On,0.636619718309859,1,Yes
9,0.39,1,1,1,On,0.307042253521127,1,Yes
10,0.39,1,1,1,On,0.58169014084507,1,Yes
11,0.39,1,1,1,On,0.345070422535211,1,Yes
12,0.39,1,1,1,On,0.604225352112676,1,Yes
13,0.39,1,1,1,On,0.66056338028169,1,Yes
14,0.39,1,1,1,On,1.0,1,Yes
15,0.39,1,1,1,On,0.597183098591549,1,Yes
1,0.39,1,1,1,Off,0.113526570048309,1,Yes
2,0.39,1,1,1,Off,1.0,1,Yes
3,0.39,1,1,1,Off,0.347826086956522,1,Yes
4,0.39,1,1,1,Off,0.297101449275362,1,Yes
5,0.39,1,1,1,Off,0.340579710144928,1,Yes
6,0.39,1,1,1,Off,0.83695652173913,1,Yes
7,0.39,1,1,1,Off,0.893719806763285,1,Yes
8,0.39,1,1,1,Off,0.417874396135266,1,Yes
9,0.39,1,1,1,Off,0.594202898550725,1,Yes
10,0.39,1,1,1,Off,0.98792270531401,1,Yes
11,0.39,1,1,1,Off,0.0748792270531401,1,Yes
12,0.39,1,1,1,Off,0.0966183574879227,1,Yes
13,0.39,1,1,1,Off,0.449275362318841,1,Yes
14,0.39,1,1,1,Off,1.0,1,Yes
15,0.39,1,1,1,Off,0.590579710144927,1,Yes
1,0.39,1,1,2,On,0.0030395136778115,1,Yes
2,0.39,1,1,2,On,0.530395136778115,1,Yes
3,0.39,1,1,2,On,0.349544072948328,1,Yes
4,0.39,1,1,2,On,0.0699088145896656,1,Yes
5,0.39,1,1,2,On,0.32370820668693,1,Yes
6,0.39,1,1,2,On,0.300911854103343,1,Yes
7,0.39,1,1,2,On,0.490881458966565,1,Yes
8,0.39,1,1,2,On,0.428571428571429,1,Yes
9,0.39,1,1,2,On,0.170212765957447,1,Yes
10,0.39,1,1,2,On,0.384498480243161,1,Yes
11,0.39,1,1,2,On,0.48936170212766,1,Yes
12,0.39,1,1,2,On,0.480243161094225,1,Yes
13,0.39,1,1,2,On,0.316109422492401,1,Yes
14,0.39,1,1,2,On,0.43161094224924,1,Yes
15,0.39,1,1,2,On,0.586626139817629,1,Yes
1,0.39,1,1,2,Off,0.507109004739337,1,Yes
2,0.39,1,1,2,Off,0.469194312796209,1,Yes
3,0.39,1,1,2,Off,0.752369668246445,1,Yes
4,0.39,1,1,2,Off,0.588862559241706,1,Yes
5,0.39,1,1,2,Off,0.658767772511848,1,Yes
6,0.39,1,1,2,Off,0.675355450236967,1,Yes
7,0.39,1,1,2,Off,0.610189573459716,1,Yes
8,0.39,1,1,2,Off,0.684834123222749,1,Yes
9,0.39,1,1,2,Off,0.303317535545024,1,Yes
10,0.39,1,1,2,Off,0.938388625592417,1,Yes
11,0.39,1,1,2,Off,0.546208530805687,1,Yes
12,0.39,1,1,2,Off,0.781990521327014,1,Yes
13,0.39,1,1,2,Off,0.530805687203792,1,Yes
14,0.39,1,1,2,Off,0.464454976303318,1,Yes
15,0.39,1,1,2,Off,0.553317535545024,1,Yes
1,0.39,1,1,3,On,0.596205962059621,1,Yes
2,0.39,1,1,3,On,0.659891598915989,1,Yes
3,0.39,1,1,3,On,0.373983739837398,1,Yes
4,0.39,1,1,3,On,0.668021680216802,1,Yes
5,0.39,1,1,3,On,0.596205962059621,1,Yes
6,0.39,1,1,3,On,0.623306233062331,1,Yes
7,0.39,1,1,3,On,0.448509485094851,1,Yes
8,0.39,1,1,3,On,0.536585365853659,1,Yes
9,0.39,1,1,3,On,0.639566395663957,1,Yes
10,0.39,1,1,3,On,0.490514905149051,1,Yes
11,0.39,1,1,3,On,0.252032520325203,1,Yes
12,0.39,1,1,3,On,0.613821138211382,1,Yes
13,0.39,1,1,3,On,0.0514905149051491,1,Yes
14,0.39,1,1,3,On,0.934959349593496,1,Yes
15,0.39,1,1,3,On,0.257452574525745,1,Yes
1,0.39,1,1,3,Off,0.509569377990431,1,Yes
2,0.39,1,1,3,Off,0.720095693779904,1,Yes
3,0.39,1,1,3,Off,0.635167464114832,1,Yes
4,0.39,1,1,3,Off,0.547846889952153,1,Yes
5,0.39,1,1,3,Off,0.480861244019139,1,Yes
6,0.39,1,1,3,Off,0.503588516746411,1,Yes
7,0.39,1,1,3,Off,0.375598086124402,1,Yes
8,0.39,1,1,3,Off,0.552631578947368,1,Yes
9,0.39,1,1,3,Off,0.575358851674641,1,Yes
10,0.39,1,1,3,Off,0.577751196172249,1,Yes
11,0.39,1,1,3,Off,0.395933014354067,1,Yes
12,0.39,1,1,3,Off,0.508373205741627,1,Yes
13,0.39,1,1,3,Off,0.494019138755981,1,Yes
14,0.39,1,1,3,Off,0.447368421052632,1,Yes
15,0.39,1,1,3,Off,0.461722488038278,1,Yes
1,0.39,1,1,4,On,0.933621933621934,1,Yes
2,0.39,1,1,4,On,0.363636363636364,1,Yes
3,0.39,1,1,4,On,0.441558441558442,1,Yes
4,0.39,1,1,4,On,0.67965367965368,1,Yes
5,0.39,1,1,4,On,0.284271284271284,1,Yes
6,0.39,1,1,4,On,0.953823953823954,1,Yes
7,0.39,1,1,4,On,0.274170274170274,1,Yes
8,0.39,1,1,4,On,0.712842712842713,1,Yes
9,0.39,1,1,4,On,0.500721500721501,1,Yes
10,0.39,1,1,4,On,0.492063492063492,1,Yes
11,0.39,1,1,4,On,0.412698412698413,1,Yes
12,0.39,1,1,4,On,0.507936507936508,1,Yes
13,0.39,1,1,4,On,0.734487734487735,1,Yes
14,0.39,1,1,4,On,0.347763347763348,1,Yes
15,0.39,1,1,4,On,0.343434343434343,1,Yes
1,0.39,1,1,4,Off,0.618469015795869,1,Yes
2,0.39,1,1,4,Off,0.455650060753341,1,Yes
3,0.39,1,1,4,Off,0.396111786148238,1,Yes
4,0.39,1,1,4,Off,0.714459295261239,1,Yes
5,0.39,1,1,4,Off,0.46415552855407,1,Yes
6,0.39,1,1,4,Off,0.701093560145808,1,Yes
7,0.39,1,1,4,Off,0.6318347509113,1,Yes
8,0.39,1,1,4,Off,0.353584447144593,1,Yes
9,0.39,1,1,4,Off,0.511543134872418,1,Yes
10,0.39,1,1,4,Off,0.490886998784933,1,Yes
11,0.39,1,1,4,Off,0.594167679222357,1,Yes
12,0.39,1,1,4,Off,0.456865127582017,1,Yes
13,0.39,1,1,4,Off,0.436208991494532,1,Yes
14,0.39,1,1,4,Off,0.311057108140948,1,Yes
15,0.39,1,1,4,Off,0.448359659781288,1,Yes
1,0.39,1,2,1,On,0.878151260504202,1,Yes
2,0.39,1,2,1,On,0.864145658263305,1,Yes
3,0.39,1,2,1,On,0.850140056022409,1,Yes
4,0.39,1,2,1,On,0.0896358543417367,1,Yes
5,0.39,1,2,1,On,0.42436974789916,1,Yes
6,0.39,1,2,1,On,0.338935574229692,1,Yes
7,0.39,1,2,1,On,0.470588235294118,1,Yes
8,0.39,1,2,1,On,0.92436974789916,1,Yes
9,0.39,1,2,1,On,0.366946778711485,1,Yes
10,0.39,1,2,1,On,0.560224089635854,1,Yes
11,0.39,1,2,1,On,0.330532212885154,1,Yes
12,0.39,1,2,1,On,0.600840336134454,1,Yes
13,0.39,1,2,1,On,0.180672268907563,1,Yes
14,0.39,1,2,1,On,0.362745098039216,1,Yes
15,0.39,1,2,1,On,0.015406162464986,1,Yes
1,0.39,1,2,1,Off,0.472189349112426,1,Yes
2,0.39,1,2,1,Off,0.659171597633136,1,Yes
3,0.39,1,2,1,Off,0.66508875739645,1,Yes
4,0.39,1,2,1,Off,0.0,1,Yes
5,0.39,1,2,1,Off,0.618934911242604,1,Yes
6,0.39,1,2,1,Off,0.576331360946746,1,Yes
7,0.39,1,2,1,Off,0.990532544378698,1,Yes
8,0.39,1,2,1,Off,0.660355029585799,1,Yes
9,0.39,1,2,1,Off,0.514792899408284,1,Yes
10,0.39,1,2,1,Off,0.468639053254438,1,Yes
11,0.39,1,2,1,Off,0.126627218934911,1,Yes
12,0.39,1,2,1,Off,0.610650887573964,1,Yes
13,0.39,1,2,1,Off,0.528994082840237,1,Yes
14,0.39,1,2,1,Off,0.0,1,Yes
15,0.39,1,2,1,Off,0.506508875739645,1,Yes
1,0.39,1,2,2,On,0.727146814404432,1,Yes
2,0.39,1,2,2,On,0.731301939058172,1,Yes
3,0.39,1,2,2,On,0.401662049861496,1,Yes
4,0.39,1,2,2,On,0.002770083102493,1,Yes
5,0.39,1,2,2,On,0.497229916897507,1,Yes
6,0.39,1,2,2,On,0.441828254847645,1,Yes
7,0.39,1,2,2,On,0.389196675900277,1,Yes
8,0.39,1,2,2,On,0.975069252077562,1,Yes
9,0.39,1,2,2,On,0.0941828254847645,1,Yes
10,0.39,1,2,2,On,0.301939058171745,1,Yes
11,0.39,1,2,2,On,0.560941828254848,1,Yes
12,0.39,1,2,2,On,0.28808864265928,1,Yes
13,0.39,1,2,2,On,0.526315789473684,1,Yes
14,0.39,1,2,2,On,0.382271468144044,1,Yes
15,0.39,1,2,2,On,0.691135734072022,1,Yes
1,0.39,1,2,2,Off,0.504716981132076,1,Yes
2,0.39,1,2,2,Off,0.566037735849057,1,Yes
3,0.39,1,2,2,Off,0.558962264150943,1,Yes
4,0.39,1,2,2,Off,0.406839622641509,1,Yes
5,0.39,1,2,2,Off,0.482311320754717,1,Yes
6,0.39,1,2,2,Off,0.261792452830189,1,Yes
7,0.39,1,2,2,Off,0.495283018867925,1,Yes
8,0.39,1,2,2,Off,0.720518867924528,1,Yes
9,0.39,1,2,2,Off,0.439858490566038,1,Yes
10,0.39,1,2,2,Off,0.73938679245283,1,Yes
11,0.39,1,2,2,Off,0.542452830188679,1,Yes
12,0.39,1,2,2,Off,0.110849056603774,1,Yes
13,0.39,1,2,2,Off,0.5625,1,Yes
14,0.39,1,2,2,Off,0.557783018867924,1,Yes
15,0.39,1,2,2,Off,0.516509433962264,1,Yes
1,0.39,1,2,3,On,0.306704707560628,1,Yes
2,0.39,1,2,3,On,0.232524964336662,1,Yes
3,0.39,1,2,3,On,0.0456490727532097,1,Yes
4,0.39,1,2,3,On,0.0099857346647646,1,Yes
5,0.39,1,2,3,On,0.592011412268188,1,Yes
6,0.39,1,2,3,On,0.0,1,Yes
7,0.39,1,2,3,On,0.512125534950071,1,Yes
8,0.39,1,2,3,On,0.0057061340941512,1,Yes
9,0.39,1,2,3,On,0.255349500713267,1,Yes
10,0.39,1,2,3,On,0.345221112696148,1,Yes
11,0.39,1,2,3,On,0.152639087018545,1,Yes
12,0.39,1,2,3,On,0.156918687589158,1,Yes
13,0.39,1,2,3,On,0.0827389443651926,1,Yes
14,0.39,1,2,3,On,0.542082738944365,1,Yes
15,0.39,1,2,3,On,0.446504992867332,1,Yes
1,0.39,1,2,3,Off,0.561660561660562,1,Yes
2,0.39,1,2,3,Off,0.468864468864469,1,Yes
3,0.39,1,2,3,Off,0.0561660561660562,1,Yes
4,0.39,1,2,3,Off,0.518925518925519,1,Yes
5,0.39,1,2,3,Off,0.488400488400488,1,Yes
6,0.39,1,2,3,Off,0.448107448107448,1,Yes
7,0.39,1,2,3,Off,0.63980463980464,1,Yes
8,0.39,1,2,3,Off,0.26984126984127,1,Yes
9,0.39,1,2,3,Off,0.427350427350427,1,Yes
10,0.39,1,2,3,Off,0.548229548229548,1,Yes
11,0.39,1,2,3,Off,0.388278388278388,1,Yes
12,0.39,1,2,3,Off,0.449328449328449,1,Yes
13,0.39,1,2,3,Off,0.288156288156288,1,Yes
14,0.39,1,2,3,Off,0.465201465201465,1,Yes
15,0.39,1,2,3,Off,0.518925518925519,1,Yes
1,0.39,1,2,4,On,0.311018131101813,1,Yes
2,0.39,1,2,4,On,0.525801952580195,1,Yes
3,0.39,1,2,4,On,0.384937238493724,1,Yes
4,0.39,1,2,4,On,0.337517433751743,1,Yes
5,0.39,1,2,4,On,0.776847977684798,1,Yes
6,0.39,1,2,4,On,0.594142259414226,1,Yes
7,0.39,1,2,4,On,0.778242677824268,1,Yes
8,0.39,1,2,4,On,0.536959553695955,1,Yes
9,0.39,1,2,4,On,0.423988842398884,1,Yes
10,0.39,1,2,4,On,0.622036262203626,1,Yes
11,0.39,1,2,4,On,0.304044630404463,1,Yes
12,0.39,1,2,4,On,0.412831241283124,1,Yes
13,0.39,1,2,4,On,0.868898186889819,1,Yes
14,0.39,1,2,4,On,0.95258019525802,1,Yes
15,0.39,1,2,4,On,0.461645746164575,1,Yes
1,0.39,1,2,4,Off,0.363966142684401,1,Yes
2,0.39,1,2,4,Off,0.642079806529625,1,Yes
3,0.39,1,2,4,Off,0.382103990326481,1,Yes
4,0.39,1,2,4,Off,0.419588875453446,1,Yes
5,0.39,1,2,4,Off,0.430471584038694,1,Yes
6,0.39,1,2,4,Off,0.52962515114873,1,Yes
7,0.39,1,2,4,Off,0.325272067714631,1,Yes
8,0.39,1,2,4,Off,0.307134220072551,1,Yes
9,0.39,1,2,4,Off,0.525997581620314,1,Yes
10,0.39,1,2,4,Off,0.532043530834341,1,Yes
11,0.39,1,2,4,Off,0.0725513905683192,1,Yes
12,0.39,1,2,4,Off,0.3409915356711,1,Yes
13,0.39,1,2,4,Off,0.704957678355502,1,Yes
14,0.39,1,2,4,Off,0.871825876662636,1,Yes
15,0.39,1,2,4,Off,0.252720677146312,1,Yes
1,0.39,1,3,1,On,0.856946354883081,1,Yes
2,0.39,1,3,1,On,0.885832187070151,1,Yes
3,0.39,1,3,1,On,0.800550206327373,1,Yes
4,0.39,1,3,1,On,0.566712517193948,1,Yes
5,0.39,1,3,1,On,0.132049518569464,1,Yes
6,0.39,1,3,1,On,0.815680880330124,1,Yes
7,0.39,1,3,1,On,0.253094910591472,1,Yes
8,0.39,1,3,1,On,0.858321870701513,1,Yes
9,0.39,1,3,1,On,0.462173314993122,1,Yes
10,0.39,1,3,1,On,0.900962861072902,1,Yes
11,0.39,1,3,1,On,0.360385144429161,1,Yes
12,0.39,1,3,1,On,0.56808803301238,1,Yes
13,0.39,1,3,1,On,0.185694635488308,1,Yes
14,0.39,1,3,1,On,0.247592847317744,1,Yes
15,0.39,1,3,1,On,0.854195323246217,1,Yes
1,0.39,1,3,1,Off,0.406513872135103,1,Yes
2,0.39,1,3,1,Off,0.463208685162847,1,Yes
3,0.39,1,3,1,Off,0.697225572979493,1,Yes
4,0.39,1,3,1,Off,0.173703256936068,1,Yes
5,0.39,1,3,1,Off,0.277442702050663,1,Yes
6,0.39,1,3,1,Off,0.609167671893848,1,Yes
7,0.39,1,3,1,Off,0.126658624849216,1,Yes
8,0.39,1,3,1,Off,0.594692400482509,1,Yes
9,0.39,1,3,1,Off,0.417370325693607,1,Yes
10,0.39,1,3,1,Off,0.712907117008444,1,Yes
11,0.39,1,3,1,Off,0.265379975874548,1,Yes
12,0.39,1,3,1,Off,0.757539203860072,1,Yes
13,0.39,1,3,1,Off,0.417370325693607,1,Yes
14,0.39,1,3,1,Off,0.014475271411339,1,Yes
15,0.39,1,3,1,Off,0.698431845597105,1,Yes
1,0.39,1,3,2,On,0.308743169398907,1,Yes
2,0.39,1,3,2,On,0.583333333333333,1,Yes
3,0.39,1,3,2,On,0.32103825136612,1,Yes
4,0.39,1,3,2,On,0.087431693989071,1,Yes
5,0.39,1,3,2,On,0.525956284153005,1,Yes
6,0.39,1,3,2,On,0.203551912568306,1,Yes
7,0.39,1,3,2,On,0.524590163934426,1,Yes
8,0.39,1,3,2,On,1.0,1,Yes
9,0.39,1,3,2,On,0.0573770491803279,1,Yes
10,0.39,1,3,2,On,0.822404371584699,1,Yes
11,0.39,1,3,2,On,0.498633879781421,1,Yes
12,0.39,1,3,2,On,0.377049180327869,1,Yes
13,0.39,1,3,2,On,0.580601092896175,1,Yes
14,0.39,1,3,2,On,0.158469945355191,1,Yes
15,0.39,1,3,2,On,0.538251366120219,1,Yes
1,0.39,1,3,2,Off,0.435251798561151,1,Yes
2,0.39,1,3,2,Off,0.761390887290168,1,Yes
3,0.39,1,3,2,Off,0.50599520383693,1,Yes
4,0.39,1,3,2,Off,0.326139088729017,1,Yes
5,0.39,1,3,2,Off,0.146282973621103,1,Yes
6,0.39,1,3,2,Off,0.573141486810552,1,Yes
7,0.39,1,3,2,Off,0.479616306954436,1,Yes
8,0.39,1,3,2,Off,1.0,1,Yes
9,0.39,1,3,2,Off,0.351318944844125,1,Yes
10,0.39,1,3,2,Off,0.0,1,Yes
11,0.39,1,3,2,Off,0.585131894484412,1,Yes
12,0.39,1,3,2,Off,0.0119904076738609,1,Yes
13,0.39,1,3,2,Off,0.476019184652278,1,Yes
14,0.39,1,3,2,Off,0.233812949640288,1,Yes
15,0.39,1,3,2,Off,0.492805755395683,1,Yes
1,0.39,1,3,3,On,0.79746835443038,1,Yes
2,0.39,1,3,3,On,0.59774964838256,1,Yes
3,0.39,1,3,3,On,0.438818565400844,1,Yes
4,0.39,1,3,3,On,0.187060478199719,1,Yes
5,0.39,1,3,3,On,0.513361462728551,1,Yes
6,0.39,1,3,3,On,0.745428973277075,1,Yes
7,0.39,1,3,3,On,0.776371308016878,1,Yes
8,0.39,1,3,3,On,0.113924050632911,1,Yes
9,0.39,1,3,3,On,0.787623066104079,1,Yes
10,0.39,1,3,3,On,0.511954992967651,1,Yes
11,0.39,1,3,3,On,0.30239099859353,1,Yes
12,0.39,1,3,3,On,0.376933895921238,1,Yes
13,0.39,1,3,3,On,0.0281293952180028,1,Yes
14,0.39,1,3,3,On,0.659634317862166,1,Yes
15,0.39,1,3,3,On,0.282700421940928,1,Yes
1,0.39,1,3,3,Off,0.612862547288777,1,Yes
2,0.39,1,3,3,Off,0.562421185372005,1,Yes
3,0.39,1,3,3,Off,0.317780580075662,1,Yes
4,0.39,1,3,3,Off,0.64312736443884,1,Yes
5,0.39,1,3,3,Off,0.602774274905422,1,Yes
6,0.39,1,3,3,Off,0.41109709962169,1,Yes
7,0.39,1,3,3,Off,0.194199243379571,1,Yes
8,0.39,1,3,3,Off,0.42875157629256,1,Yes
9,0.39,1,3,3,Off,0.549810844892812,1,Yes
10,0.39,1,3,3,Off,0.506935687263556,1,Yes
11,0.39,1,3,3,Off,0.390920554854981,1,Yes
12,0.39,1,3,3,Off,0.551071878940731,1,Yes
13,0.39,1,3,3,Off,0.373266078184111,1,Yes
14,0.39,1,3,3,Off,0.501891551071879,1,Yes
15,0.39,1,3,3,Off,0.409836065573771,1,Yes
1,0.39,1,3,4,On,0.686246418338109,1,Yes
2,0.39,1,3,4,On,0.564469914040115,1,Yes
3,0.39,1,3,4,On,0.404011461318052,1,Yes
4,0.39,1,3,4,On,0.755014326647565,1,Yes
5,0.39,1,3,4,On,0.71919770773639,1,Yes
6,0.39,1,3,4,On,0.73352435530086,1,Yes
7,0.39,1,3,4,On,0.455587392550143,1,Yes
8,0.39,1,3,4,On,0.512893982808023,1,Yes
9,0.39,1,3,4,On,0.578796561604584,1,Yes
10,0.39,1,3,4,On,0.724928366762178,1,Yes
11,0.39,1,3,4,On,0.373925501432665,1,Yes
12,0.39,1,3,4,On,0.421203438395415,1,Yes
13,0.39,1,3,4,On,0.565902578796562,1,Yes
14,0.39,1,3,4,On,0.680515759312321,1,Yes
15,0.39,1,3,4,On,0.0845272206303725,1,Yes
1,0.39,1,3,4,Off,0.469413233458177,1,Yes
2,0.39,1,3,4,Off,0.539325842696629,1,Yes
3,0.39,1,3,4,Off,0.484394506866417,1,Yes
4,0.39,1,3,4,Off,0.481897627965044,1,Yes
5,0.39,1,3,4,Off,0.134831460674157,1,Yes
6,0.39,1,3,4,Off,0.514357053682896,1,Yes
7,0.39,1,3,4,Off,0.49438202247191,1,Yes
8,0.39,1,3,4,Off,0.686641697877653,1,Yes
9,0.39,1,3,4,Off,0.317103620474407,1,Yes
10,0.39,1,3,4,Off,0.564294631710362,1,Yes
