Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
1,0.39,6,1,1,1,On,0.455963302752294,1,Yes
2,0.39,6,1,1,1,On,0.165137614678899,1,Yes
3,0.39,6,1,1,1,On,0.698165137614679,1,Yes
4,0.39,6,1,1,1,On,0.435779816513761,1,Yes
5,0.39,6,1,1,1,On,0.392660550458716,1,Yes
6,0.39,6,1,1,1,On,0.435779816513761,1,Yes
7,0.39,6,1,1,1,On,0.692660550458716,1,Yes
8,0.39,6,1,1,1,On,0.475229357798165,1,Yes
9,0.39,6,1,1,1,On,0.315596330275229,1,Yes
10,0.39,6,1,1,1,On,0.525688073394495,1,Yes
11,0.39,6,1,1,1,On,0.621100917431193,1,Yes
12,0.39,6,1,1,1,On,0.419266055045872,1,Yes
13,0.39,6,1,1,1,On,0.25045871559633,1,Yes
14,0.39,6,1,1,1,On,0.342201834862385,1,Yes
15,0.39,6,1,1,1,On,0.475229357798165,1,Yes
1,0.39,6,1,1,1,Off,0.0756578947368421,1,Yes
2,0.39,6,1,1,1,Off,0.325657894736842,1,Yes
3,0.39,6,1,1,1,Off,0.886513157894737,1,Yes
4,0.39,6,1,1,1,Off,0.142269736842105,1,Yes
5,0.39,6,1,1,1,Off,0.555098684210526,1,Yes
6,0.39,6,1,1,1,Off,0.418585526315789,1,Yes
7,0.39,6,1,1,1,Off,0.511513157894737,1,Yes
8,0.39,6,1,1,1,Off,0.307565789473684,1,Yes
9,0.39,6,1,1,1,Off,0.420230263157895,1,Yes
10,0.39,6,1,1,1,Off,0.613486842105263,1,Yes
11,0.39,6,1,1,1,Off,0.503289473684211,1,Yes
12,0.39,6,1,1,1,Off,0.458881578947368,1,Yes
13,0.39,6,1,1,1,Off,0.393914473684211,1,Yes
14,0.39,6,1,1,1,Off,0.440789473684211,1,Yes
15,0.39,6,1,1,1,Off,0.685855263157895,1,Yes
1,0.39,6,1,1,2,On,0.653631284916201,1,Yes
2,0.39,6,1,1,2,On,0.682495344506518,1,Yes
3,0.39,6,1,1,2,On,0.51024208566108,1,Yes
4,0.39,6,1,1,2,On,0.246741154562384,1,Yes
5,0.39,6,1,1,2,On,0.580074487895717,1,Yes
6,0.39,6,1,1,2,On,0.462756052141527,1,Yes
7,0.39,6,1,1,2,On,0.216014897579143,1,Yes
8,0.39,6,1,1,2,On,0.632216014897579,1,Yes
9,0.39,6,1,1,2,On,0.593109869646183,1,Yes
10,0.39,6,1,1,2,On,0.631284916201117,1,Yes
11,0.39,6,1,1,2,On,0.575418994413408,1,Yes
12,0.39,6,1,1,2,On,0.338919925512104,1,Yes
13,0.39,6,1,1,2,On,0.424581005586592,1,Yes
14,0.39,6,1,1,2,On,0.686219739292365,1,Yes
15,0.39,6,1,1,2,On,0.334264432029795,1,Yes
1,0.39,6,1,1,2,Off,0.362261146496815,1,Yes
2,0.39,6,1,1,2,Off,0.380573248407643,1,Yes
3,0.39,6,1,1,2,Off,0.437101910828025,1,Yes
4,0.39,6,1,1,2,Off,0.292197452229299,1,Yes
5,0.39,6,1,1,2,Off,0.589171974522293,1,Yes
6,0.39,6,1,1,2,Off,0.359076433121019,1,Yes
7,0.39,6,1,1,2,Off,0.375,1,Yes
8,0.39,6,1,1,2,Off,0.365445859872611,1,Yes
9,0.39,6,1,1,2,Off,0.171974522292994,1,Yes
10,0.39,6,1,1,2,Off,0.171974522292994,1,Yes
11,0.39,6,1,1,2,Off,0.55812101910828,1,Yes
12,0.39,6,1,1,2,Off,0.338375796178344,1,Yes
13,0.39,6,1,1,2,Off,0.437101910828025,1,Yes
14,0.39,6,1,1,2,Off,0.192675159235669,1,Yes
15,0.39,6,1,1,2,Off,0.504777070063694,1,Yes
1,0.39,6,1,1,3,On,0.71969696969697,1,Yes
2,0.39,6,1,1,3,On,0.606902356902357,1,Yes
3,0.39,6,1,1,3,On,0.411616161616162,1,Yes
4,0.39,6,1,1,3,On,0.658249158249158,1,Yes
5,0.39,6,1,1,3,On,0.664141414141414,1,Yes
6,0.39,6,1,1,3,On,0.814814814814815,1,Yes
7,0.39,6,1,1,3,On,0.463804713804714,1,Yes
8,0.39,6,1,1,3,On,0.771043771043771,1,Yes
9,0.39,6,1,1,3,On,0.812289562289562,1,Yes
10,0.39,6,1,1,3,On,0.525252525252525,1,Yes
11,0.39,6,1,1,3,On,0.544612794612795,1,Yes
12,0.39,6,1,1,3,On,0.672558922558923,1,Yes
13,0.39,6,1,1,3,On,0.777777777777778,1,Yes
14,0.39,6,1,1,3,On,0.702861952861953,1,Yes
15,0.39,6,1,1,3,On,0.787878787878788,1,Yes
1,0.39,6,1,1,3,Off,0.355654761904762,1,Yes
2,0.39,6,1,1,3,Off,0.342261904761905,1,Yes
3,0.39,6,1,1,3,Off,0.598958333333333,1,Yes
4,0.39,6,1,1,3,Off,0.154761904761905,1,Yes
5,0.39,6,1,1,3,Off,0.497767857142857,1,Yes
6,0.39,6,1,1,3,Off,0.531994047619048,1,Yes
7,0.39,6,1,1,3,Off,0.511160714285714,1,Yes
8,0.39,6,1,1,3,Off,0.398065476190476,1,Yes
9,0.39,6,1,1,3,Off,0.154017857142857,1,Yes
10,0.39,6,1,1,3,Off,0.479166666666667,1,Yes
11,0.39,6,1,1,3,Off,0.302083333333333,1,Yes
12,0.39,6,1,1,3,Off,0.560267857142857,1,Yes
13,0.39,6,1,1,3,Off,0.421875,1,Yes
14,0.39,6,1,1,3,Off,0.314732142857143,1,Yes
15,0.39,6,1,1,3,Off,0.529761904761905,1,Yes
1,0.39,6,1,1,4,On,0.669983416252073,1,Yes
2,0.39,6,1,1,4,On,0.56301824212272,1,Yes
3,0.39,6,1,1,4,On,0.672470978441128,1,Yes
4,0.39,6,1,1,4,On,0.623548922056385,1,Yes
5,0.39,6,1,1,4,On,0.533167495854063,1,Yes
6,0.39,6,1,1,4,On,0.292703150912106,1,Yes
7,0.39,6,1,1,4,On,0.643449419568823,1,Yes
8,0.39,6,1,1,4,On,0.685737976782753,1,Yes
9,0.39,6,1,1,4,On,0.748756218905473,1,Yes
10,0.39,6,1,1,4,On,0.615257048092869,1,Yes
11,0.39,6,1,1,4,On,0.969320066334992,1,Yes
12,0.39,6,1,1,4,On,0.472636815920398,1,Yes
13,0.39,6,1,1,4,On,0.759535655058043,1,Yes
14,0.39,6,1,1,4,On,0.950248756218905,1,Yes
15,0.39,6,1,1,4,On,0.5787728026534,1,Yes
1,0.39,6,1,1,4,Off,0.355359765051395,1,Yes
2,0.39,6,1,1,4,Off,0.31057268722467,1,Yes
3,0.39,6,1,1,4,Off,0.729074889867841,1,Yes
4,0.39,6,1,1,4,Off,0.486049926578561,1,Yes
5,0.39,6,1,1,4,Off,0.300293685756241,1,Yes
6,0.39,6,1,1,4,Off,0.469897209985316,1,Yes
7,0.39,6,1,1,4,Off,0.486784140969163,1,Yes
8,0.39,6,1,1,4,Off,0.763582966226138,1,Yes
9,0.39,6,1,1,4,Off,0.491923641703377,1,Yes
10,0.39,6,1,1,4,Off,0.460352422907489,1,Yes
11,0.39,6,1,1,4,Off,0.506607929515419,1,Yes
12,0.39,6,1,1,4,Off,0.469162995594714,1,Yes
13,0.39,6,1,1,4,Off,0.461820851688693,1,Yes
14,0.39,6,1,1,4,Off,0.666666666666667,1,Yes
15,0.39,6,1,1,4,Off,0.100587371512482,1,Yes
1,0.39,6,1,2,1,On,0.924623115577889,1,Yes
2,0.39,6,1,2,1,On,0.779731993299832,1,Yes
3,0.39,6,1,2,1,On,1.0,1,Yes
4,0.39,6,1,2,1,On,0.0058626465661641,1,Yes
5,0.39,6,1,2,1,On,0.646566164154104,1,Yes
6,0.39,6,1,2,1,On,0.817420435510888,1,Yes
7,0.39,6,1,2,1,On,0.725293132328308,1,Yes
8,0.39,6,1,2,1,On,0.567001675041876,1,Yes
9,0.39,6,1,2,1,On,0.734505862646566,1,Yes
10,0.39,6,1,2,1,On,0.516750418760469,1,Yes
11,0.39,6,1,2,1,On,0.73534338358459,1,Yes
12,0.39,6,1,2,1,On,0.578726968174204,1,Yes
13,0.39,6,1,2,1,On,0.632328308207705,1,Yes
14,0.39,6,1,2,1,On,0.634003350083752,1,Yes
15,0.39,6,1,2,1,On,0.552763819095477,1,Yes
1,0.39,6,1,2,1,Off,0.143484626647145,1,Yes
2,0.39,6,1,2,1,Off,0.566617862371889,1,Yes
3,0.39,6,1,2,1,Off,0.443631039531479,1,Yes
4,0.39,6,1,2,1,Off,0.429721815519766,1,Yes
5,0.39,6,1,2,1,Off,0.571010248901903,1,Yes
6,0.39,6,1,2,1,Off,0.545387994143485,1,Yes
7,0.39,6,1,2,1,Off,0.480234260614934,1,Yes
8,0.39,6,1,2,1,Off,0.538067349926794,1,Yes
9,0.39,6,1,2,1,Off,0.461200585651537,1,Yes
10,0.39,6,1,2,1,Off,0.475841874084919,1,Yes
11,0.39,6,1,2,1,Off,0.585651537335286,1,Yes
12,0.39,6,1,2,1,Off,0.481698389458272,1,Yes
13,0.39,6,1,2,1,Off,0.468521229868228,1,Yes
14,0.39,6,1,2,1,Off,0.601756954612006,1,Yes
15,0.39,6,1,2,1,Off,0.827232796486091,1,Yes
1,0.39,6,1,2,2,On,0.616425992779783,1,Yes
2,0.39,6,1,2,2,On,0.390794223826715,1,Yes
3,0.39,6,1,2,2,On,0.299638989169675,1,Yes
4,0.39,6,1,2,2,On,0.276173285198556,1,Yes
5,0.39,6,1,2,2,On,0.601083032490975,1,Yes
6,0.39,6,1,2,2,On,0.67057761732852,1,Yes
7,0.39,6,1,2,2,On,0.0433212996389892,1,Yes
8,0.39,6,1,2,2,On,0.605595667870036,1,Yes
9,0.39,6,1,2,2,On,0.454873646209386,1,Yes
10,0.39,6,1,2,2,On,0.597472924187726,1,Yes
11,0.39,6,1,2,2,On,0.742779783393502,1,Yes
12,0.39,6,1,2,2,On,0.0324909747292419,1,Yes
